Rank,District,Name,FTE Students
146,25101,Ocean Beach,994
147,8402,Kalama,983
148,15204,Coupeville,966
149,26056,Newport,930
150,24111,Brewster,916
151,3053,Finley,864
152,34307,Rainier,857
153,13146,Warden,844
154,39209,Mount Adams,852
155,39120,Mabton,828
156,19404,Cle Elum-Roslyn,831
157,30303,Stevenson-Carson,814
158,32358,Freeman,814
159,21300,Onalaska,796
160,21237,Toledo,766
161,28137,Orcas Island,756
162,9075,Bridgeport,745
163,21014,Napavine,741
164,28149,San Juan Island,745
165,14064,North Beach,723
167,13301,Grand Coulee Dam,696
168,16049,Chimacum,692
169,33036,Chewelah,680
170,36400,Columbia (Walla Walla),679
171,21232,Winlock,681
172,24350,Methow Valley,670
173,22009,Reardan-Edwall,666
174,23402,Pioneer,646
175,16048,Quilcene,637
176,8130,Toutle Lake,629
177,4019,Manson,611
178,2420,Asotin-Anatone,603
180,34324,Griffin,598
181,19403,Kittitas,579
182,29311,La Conner,581
183,14172,Ocosta,575
185,21226,Adna,573
186,25118,South Bend,563
187,39002,Union Gap,575
189,21206,Mossyrock,544
190,22207,Davenport,523
191,32362,Liberty,521
192,13156,Soap Lake,523
193,25116,Raymond,515
194,38300,Colfax,521
195,24410,Oroville,505
196,5401,Cape Flattery,499
197,29011,Concrete,490
198,35200,Wahkiakum,467
200,29317,Conway,448
201,33049,Wellpinit,429
203,33207,Mary Walker,409
205,31330,Darrington,384
206,7002,Dayton,385
207,10309,Republic,364
210,21303,White Pass,328
211,1160,Ritzville,321
212,25160,Willapa Valley,320
213,5313,Crescent,316
214,21214,Morton,309
215,12110,Pomeroy,305
216,25155,Naselle-Grays River Valley,303
217,23404,Hood Canal,293
218,4127,Entiat,292
219,24122,Pateros,288
220,14065,McCleary,287
221,10050,Curlew,284
222,26059,Cusick,273
223,14400,Oakville,279
224,9209,Waterville,259
225,33183,Loon Lake,259
226,33211,Northport,261
227,21301,Pe Ell,247
228,36402,Prescott,245
229,36401,Waitsburg,239
230,28144,Lopez,229
231,26070,Selkirk,226
232,22200,Wilbur,218
233,10070,Inchelium,213
234,19400,Thorp,208
235,23042,Southside,202
236,22105,Odessa,203
237,36300,Touchet,202
238,23054,Grapeview,195
240,13151,Coulee-Hartline,199
241,20406,Lyle,200
242,1158,Lind,196
243,27019,Carbonado,188
244,14097,Lake Quinault,178
245,20400,Trout Lake,182
246,14077,Taholah,167
247,38265,Tekoa,169
248,38320,Rosalia,167
250,14099,Cosmopolis,163
252,9013,Orondo,155
253,38301,Palouse,157
254,6103,Green Mountain,155
255,38306,Colton,153
256,14117,Wishkah Valley,142
257,38324,Oakesdale,141
259,3050,Paterson,138
260,24014,Nespelem,132
261,13167,Wilson Creek,131
264,38322,St. John,129
266,22204,Harrington,119
267,20203,Bickleton,108
268,33206,Columbia (Stevens),105
269,38302,Garfield,102
270,9207,Mansfield,87
272,20215,Centerville,87
273,22017,Almira,87
274,21234,Boistfort,85
275,19028,Easton,85
276,38126,Lacrosse,84
277,22073,Creston,84
278,38308,Endicott,80
279,32123,Orchard Prairie,78
280,16046,Brinnon,76
281,22008,Sprague,74
282,20402,Klickitat,72
283,30029,Mount Pleasant,66
284,25200,North River,68
285,33202,Summit Valley,64
286,20094,Wishram,64
287,30002,Skamania,63
288,20401,Glenwood,61
289,1109,Washtucna,61
291,14104,Satsop,50
292,21036,Evaline,51
293,10065,Orient,44
