"GradeCategory","Count","Percent"
"Jr High",8,0.313479623824451
"PK-12",55,2.1551724137931
"PK Only",90,3.52664576802508
"K-12",109,4.27115987460815
"Other",238,9.32601880877743
"Middle School",364,14.2633228840125
"High School",544,21.3166144200627
"Elementary School",1144,44.8275862068966
